ID,ItemNum,Tag,Condition,Sentence1,N_Words_Sentence1,AudioFile.Name,Sentence2,N_Words_Sentence2,Target_Position,List,Question,Response
1,1,1,Control,I went to a mechanic to fix my car. ,9,1Control.wav,My car has big wheels now.,6,5,1,Did he go to\n a toystore?,No
2,1,2,SemAnom,I decided to paint my boat.,6,1SemAnom.wav,My boat has big wheels now.,6,5,2,Does the boat have\n small wheels?,No
3,1,3,Critical,I decided to turn my boat into a car.,9,1Critical.wav,My boat has big wheels now.,6,5,3,Did he install big wheels\n on his boat?,Yes
4,2,1,Control,Jane was cooking Christmas dinner.,5,2Control.wav,Jane put the turkey in the oven for one hour.,10,7,4,Was the turkey in the\n oven for many hours?,No
5,2,2,SemAnom,Jane was unpacking the groceries.,5,2SemAnom.wav,Jane put the cheese in the oven for one hour.,10,7,1,Did anyone help Jane to\n unpack the groceries?,No
6,2,3,Critical,Jane was making a baked brie.,6,2Critical.wav,Jane put the cheese in the oven for one hour.,10,7,2,Was Jane melting\n some mozzarella?,No
7,3,1,Control,Jane was getting ready for a date.,7,3Control.wav,Jane put some make-up on.,5,4,3,Was Jane going\n for a run?,No
8,3,2,SemAnom,Phil was getting ready for an important business meeting.,9,3SemAnom.wav,Phil put some make-up on.,5,4,4,Does Phil wear\n any make-up?,Yes
9,3,3,Critical,Phil was training to become a clown.,7,3Critical.wav,Phil put some make-up on.,5,4,1,Does Phil want\n to be a clown?,Yes
10,4,1,Control,Alex saw a beautiful bird in the sky.,8,4Control.wav,The bird's wings were bright yellow.,6,3,2,Was the bird\n sitting on a fence?,No
11,4,2,SemAnom,Alex saw a girl waiving at him.   ,7,4SemAnom.wav,The girl's wings were bright yellow.,6,3,3,Were the girl's\n wings yellow?,Yes
12,4,3,Critical,Alex saw a girl dressed up as a fairy.,9,4Critical.wav,The girl's wings were bright yellow.,6,3,4,Was the girl dressed up\n as a butterfly?,No
13,5,1,Control,There were many events happening at the air show.,9,5Control.wav,Mike saw some planes in the sky moving slowly.,9,7,1,Did Mike attend\n a circus show?,No
14,5,2,SemAnom,It was a clear spring day.,6,5SemAnom.wav,Mike saw some tulips in the sky moving slowly.,9,7,2,Was it happening\n in September?,No
15,5,3,Critical,There were many baloons that looked like flowers at the party. ,11,5Critical.wav,Mike saw some tulips in the sky moving slowly.,9,7,3,Did the wind make\n the tulips move briskly?,No
16,6,1,Control,JFK is one of the busiest air hubs in the world. ,11,6Control.wav,Airplanes arrive to the airport every 10 minutes.,8,5,4,Do boats arrive\n to the airport?,No
17,6,2,SemAnom,Andy is checking the schedule.,5,6SemAnom.wav,Ferries arrive to the airport every 10 minutes.,8,5,1,Do ferries arrive to\n the airport more than\n one time in an hour?,Yes
18,6,3,Critical,A new water route connecting Manhattan and JFK was launched last month.,12,6Critical.wav,Ferries arrive to the airport every 10 minutes.,8,5,2,Do the ferries connect\n Manhattan with La Guardia?,No
19,7,1,Control,It was an enjoyable flight for John.,7,7Control.wav,The flight attendent offered John some food and drinks,9,7,3,Was it a pleasant\n flight for John?,Yes
20,7,2,SemAnom,John came to a walk-in clinic.,6,7SemAnom.wav,The doctor offered John some food and drinks.,8,6,4,Did the doctor offer\n John a drink?,Yes
21,7,3,Critical,There was a reception at the physician's house.,8,7Critical.wav,The doctor offered John some food and drinks.,8,6,1,Was John in the\n doctor's office?,No
22,8,1,Control,The flight boarding was announced.,5,8Control.wav,The passengers were entering the airplane slowly,7,6,2,Were the passengers\n allowed to board?,Yes
23,8,2,SemAnom,The guards were observing the territory of the jail.,9,8SemAnom.wav,The prisoners were entering the airplane slowly.  ,7,6,3,Were the prisoners\n transported by air?,Yes
24,8,3,Critical,Two convicts had to be transported to a new jail by air.,12,8Critical.wav,The prisoners were entering the airplane slowly.  ,7,6,4,Were the prisoners\n heading to the new jail?,Yes
25,9,1,Control,Mary is making some shortbread cookies.,6,9Control.wav,Mary sprinkled the cookies with sugar and nutmeg.,8,6,1,Is Mary making\n cinnamon cookies?,No
26,9,2,SemAnom,Mary is preparing some breakfast.,5,9SemAnom.wav,Mary sprinkled the bacon with sugar and nutmeg.,8,6,2,Did Mary use any spices?,Yes
27,9,3,Critical,Mary is making an unusual desert from bacon. ,8,9Critical.wav,Mary sprinkled the bacon with sugar and nutmeg.,8,6,3,Is Mary a vegetarian chef?,No
28,10,1,Control,Lucy is singing a lullaby for a baby.,8,10Control.wav,The baby is sleeping in the crib silently now.,9,7,4,Is the baby sleeping\n on the bed?,No
29,10,2,SemAnom,"Lucy has a big, hairy dog.",6,10SemAnom.wav,The dog is sleeping in the crib silently now.,9,7,1,Does Lucy own a big dog?,Yes
30,10,3,Critical,Lucy treats her dog as a baby.,7,10Critical.wav,The dog is sleeping in the crib silently now.,9,7,2,Does Lucy have a pet?,Yes
31,11,1,Control,Mike is preparing a dinner.,5,11Control.wav,"With a knife, he cuts some bread into slices.",9,7,3,Is Mike preparing breakfast?,No
32,11,2,SemAnom,Mike is setting up a fire at the campsite.,9,11SemAnom.wav,"With an axe, he cuts some bread into slices.",9,7,4,Does Mike cut some bread?,Yes
33,11,3,Critical,Michael could not find a knife at the campsite.,9,11Critical.wav,"With an axe, he cuts some bread into slices.",9,7,1,Was Michael camping?,Yes
34,12,1,Control,A dangerous leopard was approaching a group of monkeys.,9,12Control.wav,One monkey climbed up the palm looking for some safe place.,11,6,2,Was the monkey being\n chased by a poacher?,Yes
35,12,2,SemAnom,The Arctic Storm was approaching a dwelling of white bears.,10,12SemAnom.wav,One white bear climbed up the palm looking for some safe place. ,12,7,3,Was the white bear\n looking for safety?,Yes
36,12,3,Critical,The zoo keepers installed a fake tropical tree in a white bears' pavilion.,13,12Critical.wav,One white bear climbed up the palm looking for some safe place. ,12,7,4,Was it a real palm tree?,No
37,13,1,Control,It was very cold in the nursery that night.,9,13Control.wav,Jane covered a baby with the blanket to keep it warm.,11,7,1,Is the baby sleeping\n in Jane's room?,No
38,13,2,SemAnom,Jane was busy cooking supper.,5,13SemAnom.wav,Jane covered an egg with the blanket to keep it warm.,11,7,2,Was Jane cooking breakfast?,No
39,13,3,Critical,"For her science project, Jane was trying to hatch a chick in an incubator.",14,13Critical.wav,Jane covered an egg with the blanket to keep it warm.,11,7,3,Is Jane hatching chicks?,Yes
40,14,1,Control,There were a lot of tempting deserts at the food show.,11,14Control.wav,Anna was staring at a cake made of high quality chocolate with a desire to buy it. ,17,11,4,Was the bag made of\n high quality leather?,No
41,14,2,SemAnom,There were a lot of expensive acccesories at the show.,10,14SemAnom.wav,Anna was staring at a bag made of high quality chocolate with a desire to buy it.,17,11,1,Did Mary like the bag?,Yes
42,14,3,Critical,Bakers created unique cakes that looked like ordinary things for the food show.,13,14Critical.wav,Anna was staring at a bag made of high quality chocolate with a desire to buy it. ,17,11,2,Was Anna at the food show?,Yes
43,15,1,Control,Kate was getting ready to go to school.,8,15Control.wav,Kate put textbooks into her bag before leaving home for school.  ,11,6,3,Was Kate heading to school?,Yes
44,15,2,SemAnom,It was a busy day for Kate. ,7,15SemAnom.wav,Kate put the elephant into the bag before leaving home for school.,12,7,4,Does Kate go to school?,Yes
45,15,3,Critical,Kate's favorite toy is an elephant. ,6,15Critical.wav,Kate put the elephant into her bag before leaving home for school.,12,7,1,Is Kate's favorite toy a dophin?,No
46,16,1,Control,Jane was walking through a dangerous part of the city. ,10,16Control.wav,Jane checked that the bag's zipper was closed.,8,6,2,Is Jane in a bad neighborhood?,Yes
47,16,2,SemAnom,Jane was taking care of animals in the zoo.,9,16SemAnom.wav,Jane checked that the monkey's zipper was closed.,8,6,3,Is Jane a zoo keeper?,Yes
48,16,3,Critical,Jane keeps her wallet in a bag that looks like monkey toy.,12,16Critical.wav,Jane checked that the monkey's zipper was closed.,8,6,4,Does Jane kep her\n wallet in the bag?,Yes
49,17,1,Control,A baker's day starts very early.,6,17Control.wav,The baker made lots of bread this morning.,8,6,1,Does the baker start\n his day early?,Yes
50,17,2,SemAnom,The lawyer is preparng for a court hearing.. ,8,17SemAnom.wav,The lawyer made lots of bread this morning.,8,6,2,Was lawer baking\n this morning?,Yes
51,17,3,Critical,My lawyer's favorite pastime is baking. ,6,17Critical.wav,The lawyer made lots of bread this morning.,8,6,3,Did the lawer have many\n meetings this morning?,No
52,18,1,Control,"Christmas is a busy time of the year for Mary, who is a baker. ",14,18Control.wav,The baker spent her whole day in the bakery making cakes.,11,9,4,Was the baker in\n the kitchen all day?,Yes
53,18,2,SemAnom,"Mary, a ballet dancer, will perform a leading role in the new show.",13,18SemAnom.wav,The ballet dancer spent her whole day in the bakery making cakes. ,12,10,1,Was the ballet dancer\n in the movie theater?,No
54,18,3,Critical,"Mary, a ballet dancer, was taking some baking classes this week.",11,18Critical.wav,The ballet dancer spent her whole day in the bakery making cakes.,12,10,2,Does Mary work as a baker?,No
55,19,1,Control,Nancy came home with a bag full of groceries. ,9,19Control.wav,Nancy put the milk in the fridge right away. ,9,7,3,Does Mary own a fridge?,Yes
56,19,2,SemAnom,Nancy was getting ready for a number of important business meetings with her clients. ,14,19SemAnom.wav,Nancy put the blouse in the fridge right away.,9,7,4,Were there a lot of meetings\n that Nancy had to attend?,Yes
57,19,3,Critical,"To get rid of the gum that got stuck on her blouse, Nancy wanted to freeze it.",17,19Critical.wav,Nancy put the blouse in the fridge right away.,9,7,1,Did the blouse have\n a water stain on it?,No
58,20,1,Control,Tom was making some chicken soup with noodles.,8,20Control.wav,Tom poured some chicken stock into the pot carefully.,9,8,2,Did the soup that Tom\n made contain noodles?,Yes
59,20,2,SemAnom,Tom was having great time at a party.,8,20SemAnom.wav,Tom poured some beer into the pot carefully.,8,7,3,Did Tom pour some wine?,No
60,20,3,Critical,Tom was trying out a unique soup recipe that he got from a friend. ,14,20Critical.wav,Tom poured some beer into the pot carefully.,8,7,4,Did Tom pour some beer?,Yes
61,21,1,Control,There was a Christmas party in the office.,8,21Control.wav,Betty loved the red coat that Santa had on during the party. ,12,7,1,Did the party occur\n in the office?,Yes
62,21,2,SemAnom,Betty was spending her summer vacation at a tropical resort.,10,21SemAnom.wav,Betty loved the red swimsuit that Santa had on during the party. ,12,7,2,Did this happen\n in Betty's office?,No
63,21,3,Critical,Betty was spending her Christmas vacation at a tropical resort.,10,21Critical.wav,Betty loved the red swimsuit that Santa had on during the party. ,12,7,3,Did Santa wear a red suit?,Yes
64,22,1,Control,It is important for Kelly to wear the proper attire while she is cooking.    ,14,22Control.wav,"Before starting to bake, Kelly put on her apron and a hat.",12,9,4,Was Kelly intending to dance?,No
65,22,2,SemAnom,Kelly prepared a dance routine where she and her partner portrayed policemen.  ,12,22SemAnom.wav,"Before starting to dance, Kelly put on her apron and a hat.",12,9,1,Did Kelly and her partner\n portray policemen?,Yes
66,22,3,Critical,Kelly prepared a dance routine where she and her partner portrayed bakers.,12,22Critical.wav,"Before starting to dance, Kelly put on her apron and a hat.",12,9,2,Is Kelly dressed as a maid?,No
67,23,1,Control,Mark is leaving for a tropical cruise tomorrow. ,8,23Control.wav,Mark is going to the bank to get some money before starting his vacation.,14,10,3,Is he going to get some food?,No
68,23,2,SemAnom,Mark is planning a big birthday party for his wife. ,10,23SemAnom.wav,Mark is going to the bakery to get some money before starting his vacation. ,14,10,4,Does Mark plan to take\n some time off work?,Yes
69,23,3,Critical,Today is a payday at the bakery where Mark works.,10,23Critical.wav,Mark is going to the bakery to get some money before starting his vacation. ,14,10,1,Does Mark work at the bakery?,Yes
70,24,1,Control,Cindy's dog has always been very quiet.,7,24Control.wav,Cindy was startled when she heard the dog barking next to her. ,12,9,2,Did Cindy expect her dog\n to start barking?,No
71,24,2,SemAnom,Cindy's cat has always been very lazy.,7,24SemAnom.wav,Cindy was startled when she heard the cat barking next to her.,12,9,3,Is Cindy's cat very active?,No
72,24,3,Critical,Cindy mistook her friend's pet dog for a cat.,9,24Critical.wav,Cindy was startled when she heard the cat barking next to her. ,12,9,4,Did the dog's barking\n startle her?,No
73,25,1,Control,Jane wants her valuable property to be protected.,8,25Control.wav,Jane keeps her jewels in the safe at the bank.,10,7,1,Does Jane keep her\n jewels at home?,No
74,25,2,SemAnom,Jane's kitchen is very well organized. ,6,25SemAnom.wav,Jane keeps the spoons in the safe at the bank.,10,7,2,Is Jane's kitchen tidy?,Yes
75,25,3,Critical,Jane owns a set of golden spoons incrusted with jewels. ,10,25Critical.wav,Jane keeps the spoons in the safe at the bank.,10,7,3,Are the spoons likely\n to be valuable?,Yes
76,26,1,Control,John's horse is taking part in today's final race.,9,26Control.wav,"The horse is waiting at the starting line, ready to begin the race.",13,7,4,Did the horse qualify\n for the final race?,Yes
77,26,2,SemAnom,John's cat is always hungry and demands more food. ,9,26SemAnom.wav,"The cat is waiting at the starting line, ready to begin the race.",13,7,1,Is John's cat hungry\n all the time?,Yes
78,26,3,Critical,John's cat is taking part in a competition where cats race after a mouse.,14,26Critical.wav,"The cat is waiting at the starting line, ready to begin the race.",13,7,2,Is the cat ready for\n the race?,Yes
79,27,1,Control,The farmer planted many new apple trees on his farm.,10,27Control.wav,"In the fall, the farmer was busy making cider from apples. ",11,9,3,Did the farmer make\n pies in the fall?,No
