ItemNum,Condition,Sentence1_Context,Sentence2_Main,Target_word_position,N_Words_Sentence1,N_Words_Sentence2
1,Control,I went to a mechanic to fix my car. ,My car has big wheels now.,5,9,6
1,SemAnom,I decided to paint my boat.,My boat has big wheels now.,5,6,6
1,Critical,I decided to turn my boat into a car.,My boat has big wheels now.,5,9,6
2,Control,Jane was cooking Christmas dinner.,Jane put the turkey in the oven for one hour.,7,5,10
2,SemAnom,Jane was unpacking the groceries.,Jane put the cheese in the oven for one hour.,7,5,10
2,Critical,Jane was making a baked brie.,Jane put the cheese in the oven for one hour.,7,6,10
3,Control,Jane was getting ready for a date.,Jane put some make-up on.,4,7,5
3,SemAnom,Phil was getting ready for an important business meeting.,Phil put some make-up on.,4,9,5
3,Critical,Phil was training to become a clown.,Phil put some make-up on.,4,7,5
4,Control,Alex saw a beautiful bird in the sky.,The bird's wings were bright yellow.,3,8,6
4,SemAnom,Alex saw a girl waiving at him.   ,The girl's wings were bright yellow.,3,7,6
4,Critical,Alex saw a girl dressed up as a fairy.,The girl's wings were bright yellow.,3,9,6
5,Control,There were many events happening at the air show.,Mike saw some planes in the sky moving slowly.,7,9,9
5,SemAnom,It was a clear spring day.,Mike saw some tulips in the sky moving slowly.,7,6,9
5,Critical,There were many balloons that looked like flowers at the party. ,Mike saw some tulips in the sky moving slowly.,7,11,9
6,Control,JFK is one of the busiest air hubs in the world. ,Airplanes arrive to the airport every 10 minutes.,5,11,8
6,SemAnom,Andy is checking the schedule.,Ferries arrive to the airport every 10 minutes.,5,5,8
6,Critical,A new water route connecting Manhattan and JFK was launched last month.,Ferries arrive to the airport every 10 minutes.,5,12,8
7,Control,It was an enjoyable flight for John.,The flight attendent offered John some food and drinks,7,7,9
7,SemAnom,John came to a walk-in clinic.,The doctor offered John some food and drinks.,6,6,8
7,Critical,There was a reception at the physician's house.,The doctor offered John some food and drinks.,6,8,8
8,Control,The flight boarding was announced.,The passengers were entering the airplane slowly,6,5,7
8,SemAnom,The guards were observing the territory of the jail.,The prisoners were entering the airplane slowly.  ,6,9,7
8,Critical,Two convicts had to be transported to a new jail by air.,The prisoners were entering the airplane slowly.  ,6,12,7
9,Control,Mary is making some shortbread cookies.,Mary sprinkled the cookies with sugar and nutmeg.,6,6,8
9,SemAnom,Mary is preparing some breakfast.,Mary sprinkled the bacon with sugar and nutmeg.,6,5,8
9,Critical,Mary is making an unusual dessert from bacon. ,Mary sprinkled the bacon with sugar and nutmeg.,6,8,8
10,Control,Lucy is singing a lullaby for a baby.,The baby is sleeping in the crib silently now.,7,8,9
10,SemAnom,"Lucy has a big, hairy dog.",The dog is sleeping in the crib silently now.,7,6,9
10,Critical,Lucy treats her dog as a baby.,The dog is sleeping in the crib silently now.,7,7,9
11,Control,Mike is preparing a dinner.,"With a knife, he cuts some bread into slices.",7,5,9
11,SemAnom,Mike is setting up a fire at the campsite.,"With an axe, he cuts some bread into slices.",7,9,9
11,Critical,Michael could not find a knife at the campsite.,"With an axe, he cuts some bread into slices.",7,9,9
12,Control,A dangerous leopard was approaching a group of monkeys.,One monkey climbed up the palm looking for some safe place.,6,9,11
12,SemAnom,The Arctic Storm was approaching a dwelling of white bears.,One white bear climbed up the palm looking for some safe place. ,7,10,12
12,Critical,The zoo keepers installed a fake tropical tree in a white bears' pavilion.,One white bear climbed up the palm looking for some safe place. ,7,13,12
13,Control,It was very cold in the nursery that night.,Jane covered a baby with the blanket to keep it warm.,7,9,11
13,SemAnom,Jane was busy cooking supper.,Jane covered an egg with the blanket to keep it warm.,7,5,11
13,Critical,"For her science project, Jane was trying to hatch a chick in an incubator.",Jane covered an egg with the blanket to keep it warm.,7,14,11
14,Control,The lawyer is preparing for a court hearing.,Anna was staring at a cake made of high quality chocolate with a desire to buy it. ,11,8,17
14,SemAnom,There were a lot of expensive acccesories at the show.,Anna was staring at a bag made of high quality chocolate with a desire to buy it.,11,10,17
14,Critical,Bakers created unique cakes that looked like ordinary things for the food show.,Anna was staring at a bag made of high quality chocolate with a desire to buy it. ,11,13,17
15,Control,Kate was getting ready to go to school.,Kate put textbooks into her bag before leaving home for school.  ,6,8,11
15,SemAnom,It was a busy day for Kate. ,Kate put the elephant into the bag before leaving home for school.,7,7,12
15,Critical,Kate's favorite toy is an elephant. ,Kate put the elephant into her bag before leaving home for school.,7,6,12
16,Control,Jane was walking through a dangerous part of the city. ,Jane checked that the bag's zipper was closed.,6,10,8
16,SemAnom,Jane was taking care of animals in the zoo.,Jane checked that the monkey's zipper was closed.,6,9,8
16,Critical,Jane keeps her wallet in a bag that looks like monkey toy.,Jane checked that the monkey's zipper was closed.,6,12,8
17,Control,A baker's day starts very early.,The baker made lots of bread this morning.,6,6,8
17,SemAnom,The lawyer is preparng for a court hearing.. ,The lawyer made lots of bread this morning.,6,8,8
17,Critical,My lawyer's favorite pastime is baking. ,The lawyer made lots of bread this morning.,6,6,8
18,Control,"Christmas is a busy time of the year for Mary, who is a baker. ",The baker spent her whole day in the bakery making cakes.,9,14,11
18,SemAnom,"Mary, a ballet dancer, will perform a leading role in the new show.",The ballet dancer spent her whole day in the bakery making cakes. ,10,13,12
18,Critical,"Mary, a ballet dancer, was taking some baking classes this week.",The ballet dancer spent her whole day in the bakery making cakes.,10,11,12
