item_id,condition,context,prefix,continuation,sentence
1.0,Control,I went to a mechanic to fix my car.,My car has big,wheels,My car has big wheels now.
1.0,SemAnom,I decided to paint my boat.,My boat has big,wheels,My boat has big wheels now.
1.0,Critical,I decided to turn my boat into a car.,My boat has big,wheels,My boat has big wheels now.
2.0,Control,Jane was cooking Christmas dinner.,Jane put the turkey in the,oven,Jane put the turkey in the oven for one hour.
2.0,SemAnom,Jane was unpacking the groceries.,Jane put the cheese in the,oven,Jane put the cheese in the oven for one hour.
2.0,Critical,Jane was making a baked brie.,Jane put the cheese in the,oven,Jane put the cheese in the oven for one hour.
3.0,Control,Jane was getting ready for a date.,Jane put some,make-up,Jane put some make-up on.
3.0,SemAnom,Phil was getting ready for an important business meeting.,Phil put some,make-up,Phil put some make-up on.
3.0,Critical,Phil was training to become a clown.,Phil put some,make-up,Phil put some make-up on.
4.0,Control,Alex saw a beautiful bird in the sky.,The bird's,wings,The bird's wings were bright yellow.
4.0,SemAnom,Alex saw a girl waiving at him.,The girl's,wings,The girl's wings were bright yellow.
4.0,Critical,Alex saw a girl dressed up as a fairy.,The girl's,wings,The girl's wings were bright yellow.
5.0,Control,There were many events happening at the air show.,Mike saw some planes in the,sky,Mike saw some planes in the sky moving slowly.
5.0,SemAnom,It was a clear spring day.,Mike saw some tulips in the,sky,Mike saw some tulips in the sky moving slowly.
5.0,Critical,There were many balloons that looked like flowers at the party.,Mike saw some tulips in the,sky,Mike saw some tulips in the sky moving slowly.
6.0,Control,JFK is one of the busiest air hubs in the world.,Airplanes arrive to the,airport,Airplanes arrive to the airport every 10 minutes.
6.0,SemAnom,Andy is checking the schedule.,Ferries arrive to the,airport,Ferries arrive to the airport every 10 minutes.
6.0,Critical,A new water route connecting Manhattan and JFK was launched last month.,Ferries arrive to the,airport,Ferries arrive to the airport every 10 minutes.
7.0,Control,It was an enjoyable flight for John.,The flight attendent offered John some,food,The flight attendent offered John some food and drinks
7.0,SemAnom,John came to a walk-in clinic.,The doctor offered John some,food,The doctor offered John some food and drinks.
7.0,Critical,There was a reception at the physician's house.,The doctor offered John some,food,The doctor offered John some food and drinks.
8.0,Control,The flight boarding was announced.,The passengers were entering the,airplane,The passengers were entering the airplane slowly
8.0,SemAnom,The guards were observing the territory of the jail.,The prisoners were entering the,airplane,The prisoners were entering the airplane slowly.
8.0,Critical,Two convicts had to be transported to a new jail by air.,The prisoners were entering the,airplane,The prisoners were entering the airplane slowly.
9.0,Control,Mary is making some shortbread cookies.,Mary sprinkled the cookies with,sugar,Mary sprinkled the cookies with sugar and nutmeg.
9.0,SemAnom,Mary is preparing some breakfast.,Mary sprinkled the bacon with,sugar,Mary sprinkled the bacon with sugar and nutmeg.
9.0,Critical,Mary is making an unusual dessert from bacon.,Mary sprinkled the bacon with,sugar,Mary sprinkled the bacon with sugar and nutmeg.
